stream_id,condition,baseline_condition,backend,embedding_name,homology_dim,euclidean_feature_distance,z_scored_euclidean_feature_distance
lcg_weak_r003,lcg_weak,sha256_seeded_baseline,ripser,sliding_window_8d,1,3.5241788533797456,3.2545504798413663
lcg_weak_r004,lcg_weak,sha256_seeded_baseline,ripser,byte_pair_2d,0,57.45242636456702,4.131215721845655
lcg_weak_r004,lcg_weak,sha256_seeded_baseline,ripser,byte_pair_2d,1,33.58757215200815,2.294263508576637
lcg_weak_r004,lcg_weak,sha256_seeded_baseline,ripser,sliding_window_8d,0,15.25001179264782,2.551607543429177
lcg_weak_r004,lcg_weak,sha256_seeded_baseline,ripser,sliding_window_8d,1,3.0173980076554074,1.5333731003830622
lcg_weak_r005,lcg_weak,sha256_seeded_baseline,ripser,byte_pair_2d,0,57.45242644807494,4.082158529891707
lcg_weak_r005,lcg_weak,sha256_seeded_baseline,ripser,byte_pair_2d,1,22.27386394892149,1.496983381941033
lcg_weak_r005,lcg_weak,sha256_seeded_baseline,ripser,sliding_window_8d,0,42.75003711621091,2.3808802497841093
lcg_weak_r005,lcg_weak,sha256_seeded_baseline,ripser,sliding_window_8d,1,3.0289468695047237,3.750377618478503
lcg_weak_r006,lcg_weak,sha256_seeded_baseline,ripser,byte_pair_2d,0,43.31029110454441,3.2976268954687398
lcg_weak_r006,lcg_weak,sha256_seeded_baseline,ripser,byte_pair_2d,1,5.303320018690023,1.7422619648965922
lcg_weak_r006,lcg_weak,sha256_seeded_baseline,ripser,sliding_window_8d,0,12.750008357631593,1.7146324888049826
lcg_weak_r006,lcg_weak,sha256_seeded_baseline,ripser,sliding_window_8d,1,1.8916108455744536,2.5082695181971957
lcg_weak_r007,lcg_weak,sha256_seeded_baseline,ripser,byte_pair_2d,0,33.410796925805194,3.7556885989886797
lcg_weak_r007,lcg_weak,sha256_seeded_baseline,ripser,byte_pair_2d,1,61.16475981139916,4.0414311937489105
lcg_weak_r007,lcg_weak,sha256_seeded_baseline,ripser,sliding_window_8d,0,57.750051369367036,2.968940932014518
lcg_weak_r007,lcg_weak,sha256_seeded_baseline,ripser,sliding_window_8d,1,3.328340882989328,1.7134720320256254
xorshift32_weak_r000,xorshift32_weak,sha256_seeded_baseline,ripser,byte_pair_2d,0,2.2981020644528343,2.4039368106819325
xorshift32_weak_r000,xorshift32_weak,sha256_seeded_baseline,ripser,byte_pair_2d,1,2.4749219532738644,1.4888559258427392
xorshift32_weak_r000,xorshift32_weak,sha256_seeded_baseline,ripser,sliding_window_8d,0,13.750011872183975,1.5567263559941005
xorshift32_weak_r000,xorshift32_weak,sha256_seeded_baseline,ripser,sliding_window_8d,1,3.328340882989328,1.7134720320256254
xorshift32_weak_r001,xorshift32_weak,sha256_seeded_baseline,ripser,byte_pair_2d,0,6.5407380614969854,1.3889053279524501
xorshift32_weak_r001,xorshift32_weak,sha256_seeded_baseline,ripser,byte_pair_2d,1,21.56677374138238,1.7462190473521675
xorshift32_weak_r001,xorshift32_weak,sha256_seeded_baseline,ripser,sliding_window_8d,0,51.75004632474258,3.4373747528126044
xorshift32_weak_r001,xorshift32_weak,sha256_seeded_baseline,ripser,sliding_window_8d,1,2.4140946612297913,1.4776700040518382
xorshift32_weak_r002,xorshift32_weak,sha256_seeded_baseline,ripser,byte_pair_2d,0,20.682873772468685,1.667149579280203
xorshift32_weak_r002,xorshift32_weak,sha256_seeded_baseline,ripser,byte_pair_2d,1,30.052047017840646,2.9778370488213883
xorshift32_weak_r002,xorshift32_weak,sha256_seeded_baseline,ripser,sliding_window_8d,0,3.750002236468038,0.9978189741064157
xorshift32_weak_r002,xorshift32_weak,sha256_seeded_baseline,ripser,sliding_window_8d,1,0.2789615290451062,0.6408231082858717
xorshift32_weak_r003,xorshift32_weak,sha256_seeded_baseline,ripser,byte_pair_2d,0,12.197592136634658,1.5688446878310036
xorshift32_weak_r003,xorshift32_weak,sha256_seeded_baseline,ripser,byte_pair_2d,1,7.42462217157802,1.0830619289717143
xorshift32_weak_r003,xorshift32_weak,sha256_seeded_baseline,ripser,sliding_window_8d,0,24.750019301352683,0.9505618168352231
xorshift32_weak_r003,xorshift32_weak,sha256_seeded_baseline,ripser,sliding_window_8d,1,1.6055693798083532,1.3106063760316786
xorshift32_weak_r004,xorshift32_weak,sha256_seeded_baseline,ripser,byte_pair_2d,0,5.126524546107167,1.8062792395212415
xorshift32_weak_r004,xorshift32_weak,sha256_seeded_baseline,ripser,byte_pair_2d,1,59.75053501642322,4.852142794687241
xorshift32_weak_r004,xorshift32_weak,sha256_seeded_baseline,ripser,sliding_window_8d,0,16.250015217233326,1.3786704451583194
xorshift32_weak_r004,xorshift32_weak,sha256_seeded_baseline,ripser,sliding_window_8d,1,1.1523591226490448,1.5096728819287646
xorshift32_weak_r005,xorshift32_weak,sha256_seeded_baseline,ripser,byte_pair_2d,0,11.844038640512638,1.0579883603852598
xorshift32_weak_r005,xorshift32_weak,sha256_seeded_baseline,ripser,byte_pair_2d,1,5.303321204492513,0.8782009752741599
xorshift32_weak_r005,xorshift32_weak,sha256_seeded_baseline,ripser,sliding_window_8d,0,34.250027688811706,1.9014523086411699
xorshift32_weak_r005,xorshift32_weak,sha256_seeded_baseline,ripser,sliding_window_8d,1,2.678487120596161,2.751862989384724
xorshift32_weak_r006,xorshift32_weak,sha256_seeded_baseline,ripser,byte_pair_2d,0,0.8838887011393847,1.678740859843545
xorshift32_weak_r006,xorshift32_weak,sha256_seeded_baseline,ripser,byte_pair_2d,1,56.92211420792853,3.9070456797544124
xorshift32_weak_r006,xorshift32_weak,sha256_seeded_baseline,ripser,sliding_window_8d,0,38.75003109606451,2.6852215726915807
xorshift32_weak_r006,xorshift32_weak,sha256_seeded_baseline,ripser,sliding_window_8d,1,1.152325055432789,1.2403740164140076
xorshift32_weak_r007,xorshift32_weak,sha256_seeded_baseline,ripser,byte_pair_2d,0,17.854447021355877,1.894204081565792
xorshift32_weak_r007,xorshift32_weak,sha256_seeded_baseline,ripser,byte_pair_2d,1,17.324116783032377,2.1689244761892272
